Year,Plot,Layer ,Pignatti_1982,Bartolucci et al_2024,spp_presence_cover 
2002,9,C,Allium sphaerocephalon L.,Allium sphaerocephalon L. subsp. sphaerocephalon,p
2002,9,C,Amelanchier ovalis Medik. subsp. ovalis,Amelanchier ovalis Medik. subsp. ovalis,p
2002,9,C,Anthyllis vulneraria L. subsp. praepropera (Kerner) Bornm.,Anthyllis vulneraria L. subsp. rubriflora (DC.) Arcang.,p
2002,9,C,Arabis collina Ten.,Arabis collina Ten.,p
2002,9,C,Asperula cynanchica L.,Cynanchica pyrenaica (L.) P.Caputo & Del Guacchio subsp. cynanchica (L.) P.Caputo & Del Guacchio,p
2002,9,C,Asperula purpurea (L.) Ehrend.,Thliphthisa purpurea (L.) P.Caputo & Del Guacchio subsp. purpurea,p
2002,9,C,Brachypodium rupestre (Host) Roem. & Schult. subsp. rupestre,Brachypodium rupestre (Host) Roem. & Schult.,p
2002,9,C,Bromus erectus Huds.,Bromopsis erecta (Huds.) Fourr.,p
2002,9,C,Bupleurum falcatum L. subsp. cernuum (Ten.) Arcang.,Bupleurum falcatum L. subsp. cernuum (Nyman) Arcang.,p
2002,9,C,Centaurea ambigua Guss. subsp. ambigua,Centaurea arrigonii Greuter,p
2002,9,C,Cerastium arvense L. subsp. suffruticosum (L.) Nym.,Cerastium arvense L. subsp. suffruticosum (L.) Ces.,p
2002,9,C,Coronilla minima L.,Coronilla minima L.,p
2002,9,C,Cuscuta epithymum (L.) L.,Cuscuta epithymum (L.) L. subsp. epithymum ,p
2002,9,C,Cytisus sessilifolius L.,Cytisophyllum sessilifolium (L.) O.Lang,p
2002,9,C,Orchis sambucina L.,Dactylorhiza sambucina (L.) Soó,p
2002,9,C,Dianthus sylvestris Wulfen subsp. garganicus (Grande) Pignatti,Dianthus virgineus L.,p
2002,9,C,Eryngium amethystinum L.,Eryngium amethystinum L.,p
2002,9,C,Erysimum pseudorhaeticum Polatschek,Erysimum pseudorhaeticum Polatschek,p
2002,9,C,Festuca circummediterranea Patzke,Festuca circummediterranea Patzke,p
2002,9,C,Globularia punctata Lapeyr.,Globularia bisnagarica L.,p
2002,9,C,Helianthemum canum (L.) Baumg. subsp. canum,Helianthemum oelandicum (L.) Dum.Cours. subsp. incanum (Willk.) G.López,p
2002,9,C,Helleborus bocconei Ten. subsp. bocconei,Helleborus viridis L. subsp. bocconei (Ten.) Peruzzi,p
2002,9,C,Hieracium pilosella L.,Pilosella officinarum F.W.Schultz & Sch.Bip.,p
2002,9,C,Knautia purpurea (Vill.) Borbás,Knautia calycina (C.Presl) Guss.,p
2002,9,C,Koeleria macrantha (Ledeb.) Sprengel,Koeleria macrantha (Ledeb.) Schult. subsp. macrantha,p
2002,9,C,Muscari neglectum Guss.,Muscari neglectum Guss. ex Ten. & Sangiovanni,p
2002,9,C,Onobrychis viciifolia Scop.,Onobrychis viciifolia Scop.,p
2002,9,C,Orobanche alba Stephan,Orobanche alba Stephan ex Willd.,p
2002,9,C,Rhinanthus minor L.,Rhinanthus minor L.,p
2002,9,C,Sanguisorba minor Scop. subsp. muricata (Gremli) Briq.,Poterium sanguisorba L. subsp. balearicum (Bourg. ex Nyman) Stace,p
2002,9,C,Sedum rupestre L. subsp. rupestre,Petrosedum rupestre (L.) P.V.Heath,p
2002,9,C,Senecio doronicum L. subsp. doronicum,Senecio doronicum (L.) L. subsp. doronicum,p
2002,9,C,Sesleria nitida Ten.,Sesleria nitida Ten.,p
2002,9,C,Silene italica (L.) Pers. subsp. italica,Silene italica (L.) Pers. subsp. italica,p
2002,9,C,Silene otites (L.) Wibel,Silene otites (L.) Wibel subsp. otites,p
2002,9,C,Stachys recta L. subsp. recta,Stachys recta L. subsp. recta,p
2002,9,C,Tanacetum corymbosum var. tenuifolium (Willd.) Briq. et Cavill.,Tanacetum corymbosum (L.) Sch.Bip. subsp. achilleae (L.) Greuter,p
2002,9,C,Teucrium chamaedrys L.,Teucrium chamaedrys L. subsp. chamaedrys,p
2002,9,C,Teucrium montanum L.,Teucrium montanum L.,p
2002,9,C,Thymus longicaulis Presl,Thymus longicaulis C.Presl subsp. longicaulis,p
2002,9,C,Trifolium pratense L. subsp. pratense,Trifolium pratense L. subsp. pratense,p
2002,9,C,Trinia glauca (L.) Dumort. subsp. carniolica (Kerner) Wolff,Trinia glauca (L.) Dumort. subsp. carniolica (A.Kern. ex Janch.) H.Wolff,p
2003,9,C,Asperula purpurea (L.) Ehrend.,Thliphthisa purpurea (L.) P.Caputo & Del Guacchio subsp. purpurea,p
2003,9,C,Astragalus sempervirens Lam. subsp. gussonei Pignatti,Astragalus sempervirens Lam.,p
2003,9,C,Bromus erectus Huds.,Bromopsis erecta (Huds.) Fourr.,p
2003,9,C,Bupleurum falcatum L. subsp. cernuum (Ten.) Arcang.,Bupleurum falcatum L. subsp. cernuum (Nyman) Arcang.,p
2003,9,C,Carlina acaulis L.,Carlina acaulis L. subsp. caulescens (Lam.) Schübl. & G.Martens,p
2003,9,C,Centaurea ambigua Guss. subsp. ambigua,Centaurea arrigonii Greuter,p
2003,9,C,Centaurea triumfettii All.,Centaurea triumfettii All.,p
2003,9,C,Cuscuta epithymum (L.) L.,Cuscuta epithymum (L.) L. subsp. epithymum ,p
2003,9,C,Dactylis glomerata L.,Dactylis glomerata L. subsp. glomerata,p
2003,9,C,Dianthus sylvestris Wulfen subsp. garganicus (Grande) Pignatti,Dianthus virgineus L.,p
2003,9,C,Eryngium amethystinum L.,Eryngium amethystinum L.,p
2003,9,C,Festuca circummediterranea Patzke,Festuca circummediterranea Patzke,p
2003,9,C,Genista tinctoria L. subsp. tinctoria,Genista tinctoria L.,p
2003,9,C,Globularia punctata Lapeyr.,Globularia bisnagarica L.,p
